der Körper,die Körper
die Klasse,die Klassen
die Lösung,die Lösungen
das Verhalten,die Verhalten
die Höhe,die Höhen
der Junge,die Jungen
das Fenster,die Fenster
die Luft,die Lüfte
die Meinung,die Meinungen
die Idee,die Ideen
das Produkt,die Produkte
das Studium,die Studien
der Vergleich,die Vergleiche
das Mittel,die Mittel
das Modell,die Modelle
die Natur,die Naturen
das Bett,die Betten
der Kunde,die Kunden
der Mitarbeiter,die Mitarbeiter
der Tod,die Tode
das Geschäft,die Geschäfte
der Spaß,die Späße
die Wirtschaft,die Wirtschaften
das Tier,die Tiere
die Bewegung,die Bewegungen
der Gast,die Gäste
die Sicherheit,die Sicherheiten
der Einsatz,die Einsätze
das Gebiet,die Gebiete
der Dank,
das Dorf,die Dörfer
der Kollege,die Kollegen
die Angabe,die Angaben
der Bruder,die Brüder
die Verfügung,die Verfügungen
das Fach,die Fächer
das Herz,die Herzen
der Kontakt,die Kontakte
die Menge,die Mengen
der Sommer,die Sommer
der Unterschied,die Unterschiede
der Anspruch,die Ansprüche
die Antwort,die Antworten
die Verbindung,die Verbindungen
die Vorstellung,die Vorstellungen
die Anwendung,die Anwendungen
das Alter,die Alter
die Kosten,
der Patient,die Patienten
die Polizei,die Polizeien
das Theater,die Theater
die Ausbildung,die Ausbildungen
die Gefahr,die Gefahren
das Gerät,die Geräte
der Kilometer,die Kilometer
die Hilfe,die Hilfen
der Computer,die Computer
der Dollar,die Dollar
das Verfahren,die Verfahren
der Vertrag,die Verträge
die Maßnahme,die Maßnahmen
die Mitte,die Mitten
die Ordnung,die Ordnungen
der Stoff,die Stoffe
der Beginn,die Beginne
das Glück,
das Wochenende,die Wochenenden
der Professor,die Professoren
die Reihe,die Reihen
der Westen,West
die Bevölkerung,die Bevölkerungen
das Institut,die Institute
der Osten,Ost
die Schwester,die Schwestern
die Erde,die Erden
die Ebene,die Ebenen
die Reise,die Reisen
die Einheit,die Einheiten
das Haar,die Haare
das Lächeln,die Lächeln
die Nähe,
das Prinzip,die Prinzipien
der Vorteil,die Vorteile
die Struktur,die Strukturen
der Autor,die Autoren
die Bedingung,die Bedingungen
das Risiko,die Risiken
die Wahl,die Wahlen
die Wirkung,die Wirkungen
der Brief,die Briefe
die Größe,die Größen
die Medien,
die Macht,die Mächte
die Untersuchung,die Untersuchungen
die Veränderung,die Veränderungen
die Daten,
der Einfluss,die Einflüsse
die Methode,die Methoden
die Organisation,die Organisationen
die Liebe,die Lieben
die Rede,die Reden
der Sport,die Sporte
der Augenblick,die Augenblicke
die Diskussion,die Diskussionen
die Forderung,die Forderungen
der Kreis,die Kreise
die Technik,die Techniken
der Versuch,die Versuche
das Schweigen,
die Krankheit,die Krankheiten
die Schwierigkeit,die Schwierigkeiten
die Tätigkeit,die Tätigkeiten
die Voraussetzung,die Voraussetzungen
der Kampf,die Kämpfe
der Künstler,die Künstler
die Region,die Regionen
der Eindruck,die Eindrücke
die Reaktion,die Reaktionen
der Beitrag,die Beiträge
das Konzept,die Konzepte
die Linie,die Linien
der Mund,die Münder
der Wunsch,die Wünsche
der Artikel,die Artikel
der Gegensatz,die Gegensätze
das Kapitel,die Kapitel
die Literatur,die Literaturen
der Rücken,die Rücken
die Zelle,die Zellen
die Aussage,die Aussagen
der Bürger,die Bürger
der Himmel,die Himmel
der Inhalt,die Inhalte
die Wand,die Wände
die Bibliothek,die Bibliotheken
die Farbe,die Farben
der/die Jugendliche,die Jugendliche
das Maß,die Maße
der Ansatz,die Ansätze
der Aspekt,die Aspekte
das Bein,die Beine
die Erinnerung,die Erinnerungen
die Kenntnis,die Kenntnisse
der Kurs,die Kurse
das Papier,die Papiere
die Sekunde,die Sekunden
die Sonne,
der Umstand,die Umstände
die Wissenschaft,die Wissenschaften
der Garten,die Gärten
die Küche,die Küchen
die Wirklichkeit,die Wirklichkeiten
der Druck,die Drucke
das Essen,die Essen
die Grundlage,die Grundlagen
der Zustand,die Zustände
die Hälfte,die Hälften
das Meer,die Meere
der Dienst,die Dienste
der Gegenstand,die Gegenstände
der Plan,die Pläne
der Zeitpunkt,die Zeitpunkte
der Auftrag,die Aufträge
der Baum,die Bäume
die Freude,die Freuden
die Gemeinde,die Gemeinden
der Hinweis,die Hinweise
das Netz,die Netze
die Position,die Positionen
der Schluss,die Schlüsse
die Bundesrepublik,die Bundesrepubliken
die Forschung,die Forschungen
das Glas,die Gläser
die Haut,die Häute
die Praxis,die Praxen
der Wald,die Wälder
der Ausdruck,die Ausdrücke
der Finger,die Finger
die Freundin,die Freundinnen
der Roman,die Romane
die Sicht,die Sichten
die Theorie,die Theorien
die Umwelt,die Umwelten
der Haushalt,die Haushalte
der Hund,die Hunde
die Maschine,die Maschinen
die Nummer,die Nummern
der Politiker,die Politiker
das Team,die Teams
der Titel,die Titel
der Verein,die Vereine
das Fernsehen,
die Schulter,die Schultern
die Unterstützung,
das Zeichen,die Zeichen
das Material,die Materialien
die Produktion,die Produktionen
der Rest,die Reste
die Ruhe,
der Schaden,die Schäden
der Soldat,die Soldaten
die Sorge,die Sorgen
die Tatsache,die Tatsachen
die Umgebung,die Umgebungen
das Volk,die Völker
der Wagen,die Wagen
der Wind,die Winde
der Zweck,die Zwecke
der Angriff,die Angriffe
der Antrag,die Anträge
der/das Grad,die Grade
der Job,die Jobs
die Öffentlichkeit,
der Schutz,die Schutze
der Anteil,die Anteile
der/die Beschäftigte,die Beschäftigte
der Besuch,die Besuche
die Energie,die Energien
die Erklärung,die Erklärungen
der Gang,die Gänge
der Lauf,die Läufe
der Unterricht,die Unterrichte
das Zentrum,die Zentren
das Amt,die Ämter
der Anschlag,die Anschläge
das Ausland,
die Behandlung,die Behandlungen
die Einrichtung,die Einrichtungen
das Feld,die Felder
die Hochschule,die Hochschulen
das Hotel,die Hotels
das Publikum,die Publika
die Studie,die Studien
der/die Vorsitzende,die Vorsitzenden
die Analyse,die Analysen
die Spur,die Spuren
der Berg,die Berge
die Erkenntnis,die Erkenntnisse
der Faktor,die Faktoren
der Fehler,die Fehler
die Freiheit,die Freiheiten
die Freizeit,die Freizeiten
die Gegend,die Gegenden
die Kritik,die Kritiken
der Partner,die Partner
der See,die Seen
die See,die Seen
der Typ,die Typen
das Ereignis,die Ereignisse
die Kontrolle,die Kontrollen
das Objekt,die Objekte
das Opfer,die Opfer
der Sprecher,die Sprecher
der Arbeitsplatz,die Arbeitsplätze
die Aufnahme,die Aufnahmen
die Fähigkeit,die Fähigkeiten
die Karte,die Karten
der Urlaub,die Urlaube
die Verantwortung,die Verantwortungen
die Wahrheit,die Wahrheiten
das Gebäude,die Gebäude
der Gesellschafter,die Gesellschafter
das Jahrzehnt,die Jahrzehnte
der Norden,Nord
das Ohr,die Ohren
die Prüfung,die Prüfungen
die Regelung,die Regelungen
das Schiff,die Schiffe
die Ausstellung,die Ausstellungen
der Bezug,die Bezüge
die Bitte,die Bitten
die Hoffnung,die Hoffnungen
der Band,die Bänder
die Band,die Bänder
das Band,die Bänder
der Bericht,die Berichte
die Einstellung,die Einstellungen
das Gericht,die Gerichte
der Gewinn,die Gewinne
der König,die Könige
der Sieg,die Siege
die Tat,die Taten
der Traum,die Träume
die Union,die Unionen
der Besucher,die Besucher
der Bund,die Bünde
der Direktor,die Direktoren
die Geographie,die Geographien
der Hintergrund,die Hintergründe
die Qualität,die Qualitäten
der Rand,die Ränder
die Vergangenheit,
der Abschnitt,die Abschnitte
der Bauer,die Bauern
die Ehe,die Ehen
die Ursache,die Ursachen
der Verlust,die Verluste
der Winter,die Winter
der Zuschauer,die Zuschauer
die Anzahl,
die Insel,die Inseln
das Instrument,die Instrumente
die Nachricht,die Nachrichten
die Pflanzen,
die Störung,die Störungen
der Vertreter,die Vertreter
der Vorschlag,die Vorschläge
der Zentimeter,die Zentimeter
der Abstand,die Abstände
die Bildung,die Bildungen
die Eigenschaft,die Eigenschaften
die Generation,die Generationen
der Leiter,die Leitern
die Leiter,die Leitern
der Abschluss,die Abschlüsse
das Blatt,die Blätter
der Geist,die Geister
das Interview,die Interviews
das Semester,
der Stand,die Stände
die Tradition,die Traditionen
die Anlage,die Anlagen
die Behörde,die Behörden
die Bühne,die Bühnen
die Dame,die Damen
das Element,die Elemente
die Gelegenheit,die Gelegenheiten
der Hof,die Höfe
die Kommunikation,die Kommunikationen
die Mama,die Mamas
das Museum,die Museen
die Nutzung,die Nutzungen
die Basis,die Basen
die Ecke,die Ecken
der Herbst,die Herbste
das Kriterium,die Kriterien
der Terror,
das Verständnis,die Verständnisse
die Zusammenarbeit,die Zusammenarbeiten
die Ansicht,die Ansichten
die Auseinandersetzung,die Auseinandersetzungen
die Bahn,die Bahnen
die Bürgermeister,die Bürgermeister
die Definition,die Definitionen
das Flugzeug,die Flugzeuge
das Foto,die Fotos
die Masse,die Massen
die Nation,die Nationen
die Phase,die Phasen
der Stein,die Steine
der Ton,die Tone
die Veranstaltung,die Veranstaltungen
die Änderung,die Änderungen
die Ausnahme,die Ausnahmen
der Bau,die Bauten
das Hobby,die Hobbys
der Kaffee,die Kaffees
der Konflikt,die Konflikte
die Leitung,die Leitungen
die Lust,die Lüste
die Mehrheit,die Mehrheiten
der Nachmittag,die Nachmittage
die Rechnung,die Rechnungen
das Schloss,die Schlösser
die Aktivität,die Aktivitäten
das Dach,die Dächer
das Fest,die Feste
der Kandidat,die Kandidaten
die Landschaft,die Landschaften
die Mannschaft,die Mannschaften
die Mauer,die Mauern
die Runde,die Runden
der Stern,die Sterne
der Experte,die Experten
die Gestalt,die Gestalten
der Laden,die Läden
der Meister,die Meister
die Stellung,die Stellungen
der Zugang,die Zugänge
die Branche,die Branchen
die Figur,die Figuren
der Frieden,
die Industrie,die Industrien
der Umgang,die Umgänge
der Vorgang,die Vorgänge
das Wachstum,
das Büro,die Büros
die Darstellung,die Darstellungen
der Fußball,die Fußbälle
die Gewalt,die Gewalten
die Institution,die Institutionen
die Katze,die Katzen
der Konzern,die Konzerne
das Lager,die Lager
die Lehre,die Lehren
das Pferd,die Pferde
der Rat,die Räte
der Schatten,die Schatten
die Spitze,die Spitzen
die Strecke,die Strecken
die Szene,die Szenen
die Weltmeisterschaft,die Weltmeisterschaften
das Blut,die Blute
die Dauer,die Dauern
das Feuer,die Feuer
das Gymnasium,die Gymnasien
die Konsequenz,die Konsequenzen
die Nase,die Nasen
der Stuhl,die Stühle
der Süden,Süd
das Tor,die Tore
der Verband,die Verbände
die Aktie,die Aktien
die Aktion,die Aktionen
der Anlass,die Anlässe
die Ausgabe,die Ausgaben
der Ausländer,die Ausländer
das Bundesland,die Bundesländer
der Club,die Clubs
der Fluss,die Flüsse
die Führung,die Führungen
die Geschwindigkeit,die Geschwindigkeiten
das Gut,die Güter
die Medizin,die Medizinen
der Nachbar,die Nachbarn
die Software,die Softwares
die Stufe,die Stufen
das Telefon,die Telefone
der Terrorismus,
der Trainer,die Trainer
der Zweifel,die Zweifel
die Anforderung,die Anforderungen
das Bad,die Bäder
die Belastung,die Belastungen
der Bus,die Busse
der Effekt,die Effekte
die Messe,die Messen
der Umfang,die Umfänge
die Vorschrift,die Vorschriften
das Fahrrad,die Fahrräder
die Kommission,die Kommissionen
das Krankenhaus,die Krankenhäuser
der Mangel,die Mängel
der Richter,die Richter
der Terrorist,die Terroristen
das Urteil,die Urteile
der Anbieter,die Anbieter
die Decke,die Decken
der Fisch,die Fische
das Fleisch,
die Jugend,
der Schmerz,die Schmerzen
die Schuld,die Schulden
die Stimmung,die Stimmungen
die Tasche,die Taschen
der Wein,die Weine
die Welle,die Wellen
der Wettbewerb,die Wettbewerbe
das Wetter,die Wetter
die Alternative,die Alternativen
die Auswirkung,die Auswirkungen
das Bedürfnis,die Bedürfnisse
die Haltung,die Haltungen
der Leser,die Leser
die Tante,die Tanten
die Temperatur,die Temperaturen
die Waffe,die Waffen
die Ware,die Waren
die Ahnung,die Ahnungen
die Brust,die Brüste
die Einführung,die Einführungen
die Fahrt,die Fahrten
die Förderung,die Förderungen
das Kleid,die Kleider
die Koalition,die Koalitionen
die Länge,die Längen
das Loch,die Löcher
der Manager,die Manager
die Quelle,die Quellen
der Regen,
die Religion,die Religionen
der Spieler,die Spieler
die Summe,die Summen
der Termin,die Termine
der Test,die Tests
der Tourist,die Touristen
der Umsatz,die Umsätze
das Vertrauen,
die Verwendung,die Verwendungen
der Vorwurf,die Vorwürfe
der Wissenschaftler,die Wissenschaftler
das Bier,die Biere
die Bundesregierung,die Bundesregierungen
das Konzert,die Konzerte
die Krise,die Krisen
die Landwirtschaft,die Landwirtschaften
das Leid,
das Lied,die Lieder
das Merkmal,die Merkmale
das Parlament,die Parlamente
die Pause,die Pausen
die Perspektive,die Perspektiven
das Phänomen,die Phänomene
die Realität,die Realitäten
die Suche,die Suchen
der Weltkrieg,die Weltkriege
der Arbeitgeber,die Arbeitgeber
der Aufbau,die Aufbauten
die Bestimmungen,
die Botschaft,die Botschaften
das Brot,die Brote
die Flasche,die Flaschen
die Formel,die Formeln
der Fortschritt,die Fortschritte
der Geburtstag,die Geburtstage
die Gegenwart,
die Hauptstadt,die Hauptstädte
die Mühe,die Mühen
die Nachfrage,die Nachfragen
die Pflicht,die Pflichten
der Studiengang,
der Teilnehmer,die Teilnehmer
der Wille,die Willen
die Debatte,die Debatten
die Fremdsprache,die Fremdsprachen
der Gegner,die Gegner
die Hinsicht,die Hinsichten
der Käufer,die Käufer
das Kilogramm,die Kilogramme
die Verwaltung,die Verwaltungen
die Weile,die Weilen
die Adresse,die Adressen
der Betrag,die Beträge
der Hals,die Hälse
die Heimat,die Heimaten
der Kauf,die Käufe
das Kino,die Kinos
die Konkurrenz,die Konkurrenzen
die Mathematik,
die Schicht,die Schichten
der Schwerpunkt,die Schwerpunkte
der Streit,die Streite
die Verhandlung,die Verhandlungen
der Ablauf,die Abläufe
der Arbeitnehmer,die Arbeitnehmer
das Drittel,die Drittel
der,die Erwachsene
der Fahrer,die Fahrer
das Gegenteil,die Gegenteile
die Gemeinschaft,die Gemeinschaften
die Gewerkschaft,die Gewerkschaften
der Handel,die Händel
der Kanzler,die Kanzler
das Management,die Managements
der Millimeter,die Millimeter
der Minister,die Minister
der Nachteil,die Nachteile
die Platte,die Platten
der Sitz,die Sitze
der Start,die Starts
die Tabelle,die Tabellen
der Tourismus,
der Verdacht,die Verdachte
der Vogel,die Vögel
der Widerstand,die Widerstände
der/die Beamte,die Beamte
die Investition,die Investitionen
die Planung,die Planungen
der Polizist,die Polizisten
der Schriftsteller,die Schriftsteller
die Stärke,die Stärken
die Steuer,die Steuern
das Steuer,die Steuern
die Therapie,die Therapien
die Überlegung,die Überlegungen
der Verkehr,die Verkehre
die Verletzung,die Verletzungen
der/die Abgeordnete,
der Anschluss,die Anschlüsse
die Armee,die Armeen
die Atmosphäre,die Atmosphären
die Auswahl,die Auswahlen
die Beschreibung,die Beschreibungen
das Boot,die Boote
die Einnahmen,
die Erkrankung,die Erkrankungen
die Fläche,die Flächen
der Flughafen,die Flughäfen
das Gehirn,die Gehirne
die Gesundheit,
der Park,die Parks
der PC,
die Physik,
die Post,die Posten
die Saison,die Saisons
die Stirn,die Stirnen
die Strategie,die Strategien
der Wechsel,die Wechsel
der Alltag,
der Auftritt,die Auftritte
der Bahnhof,die Bahnhöfe
der Bundeskanzler,die Bundeskanzler
die Demokratie,die Demokratien
die Erwartung,die Erwartungen
das Fahrzeug,die Fahrzeuge
die Fotografie,die Fotografien
der Hersteller,die Hersteller
das Holz,die Hölzer
das Knie,die Knie
die Kombination,die Kombinationen
die Liste,die Listen
das Niveau,die Niveaus
der Pfarrer,die Pfarrer
das Schicksal,die Schicksale
die Schrift,die Schriften
der Standort,die Standorte
der Verlag,die Verlage
der Zeltraum,
die Abteilung,die Abteilungen
der Beweis,die Beweise
das Detail,die Details
die Dimension,die Dimensionen
der Forscher,die Forscher
die Integration,die Integrationen
die Kasse,die Kassen
die Kategorie,die Kategorien
der Organismus,die Organismen
das Radio,die Radios
der Unfall,die Unfälle
die Verbesserung,die Verbesserungen
die Verpflichtung,die Verpflichtungen
das Abitur,die Abiture
der Bedarf,die Bedarfe
die Beratung,die Beratungen
die Beschäftigung,die Beschäftigungen
die Betrachtung,die Betrachtungen
das Frühjahr,die Frühjahre
das Gewicht,die Gewichte
der Journalist,die Journalisten
die Kompetenz,die Kompetenzen
das Lebensmittel,die Lebensmittel
der Mittelpunkt,die Mittelpunkte
der Spiegel,die Spiegel
der Strand,die Strände
die Treppe,die Treppen
das Vermögen,die Vermögen
das Wesen,die Wesen
die Arbeitslosigkeit,
die Beobachtung,die Beobachtungen
der Bestandteil,die Bestandteile
die Beteiligung,die Beteiligungen
die Bewertung,die Bewertungen
die Bezeichnung,die Bezeichnungen
die Brücke,die Brücken
die CD,die CDs
der Gebrauch,die Gebräuche
der Geschäftsführer,die Geschäftsführer
die Lippe,die Lippen
der Ministerpräsident,die Ministerpräsidenten
der Nutzen,
der Ruf,die Rufe
das Signal,die Signale
der Standard,die Standards
der Start,die Starts
die Substanz,die Substanzen
die Taste,die Tasten
das Teilchen,die Teilchen
die Versicherung,die Versicherungen
die Vorbereitung,die Vorbereitungen
der Vordergrund,die Vordergründe
der Anwalt,die Anwälte
das Experiment,die Experimente
der Glauben,
der Grundsatz,die Grundsätze
die Komponente,die Komponenten
die Oberfläche,die Oberflächen
das Reich,die Reiche
das Rennen,die Rennen
der Schlag,die Schläge
der Schuh,die Schuhe
das Seminar,die Seminare
die Sendung,die Sendungen
die Spannung,die Spannungen
die Technologie,die Technologien
die Truppe,die Truppen
das Umfeld,die Umfelder
der Verbraucher,die Verbraucher
der Verkauf,die Verkäufe
das Viertel,die Viertel
das Vorjahr,die Vorjahre
die Bilanz,die Bilanzen
das Erlebnis,die Erlebnisse
das Grundstück,die Grundstücke
die Identität,die Identitäten
die Kamera,die Kameras
der Kanal,die Kanäle
die Karriere,die Karrieren
der Kredit,die Kredite
das Quartal,die Quartale
das Rad,die Räder
der Rechner,die Rechner
der Schlaf,die Schläfe
der Sender,die Sender
das Tal,die Täler
die Tiefe,die Tiefen
das TV,
der Verlauf,die Verläufe
die Zigarette,die Zigaretten
der Aktionär,die Aktionäre
der Atem,
die Auffassung,die Auffassungen
der Bewohner,die Bewohner
der Charakter,die Charaktere
das Einkommen,die Einkommen
die Erziehung,
die Geburt,die Geburten
die Halle,die Hallen
die Herausforderung,die Herausforderungen
die Informationstechnologie,die Informationstechnologien
der Mittag,die Mittage
die Niederlage,die Niederlagen
die Norm,die Normen
die Reform,die Reformen
das Restaurant,die Restaurants
der Schauspieler,die Schauspieler
der Schnee,
die Schülerin,die Schülerinnen
der Service,die Services
die Sitzung,die Sitzungen
der Sturm,die Stürme
die Träne,die Tränen
die Trauer,
der Vorstand,die Vorstände
der Zufall,die Zufälle
die Zustimmung,die Zustimmungen
der/die Angehörige,die Angehörige
die Annahme,die Annahmen
das Argument,die Argumente
das Arzneimittel,die Arzneimittel
der Außenminister,die Außenminister
der Benutzer,die Benutzer
der Bescheid,die Bescheide
die Blume,die Blumen
die Bundeswehr,
die Disziplin,die Disziplinen
die Existenz,die Existenzen
die Fraktion,die Fraktionen
das Grundgesetz,die Grundgesetze
der Händler,die Händler
der Hinblick,
das Individuum,die Individuen
die Katastrophe,die Katastrophen
das Motiv,die Motive
der Musiker,die Musiker
die Opposition,die Oppositionen
der Papa,die Papas
das Personal,die Personale
der Sand,die Sande
die Station,die Stationen
die Tendenz,die Tendenzen
das Training,die Trainings
die Umsetzung,die Umsetzungen
der Verkäufer,die Verkäufer
die Versorgung,die Versorgungen
der Wandel,
das Wunder,die Wunder
die Angelegenheit,die Angelegenheiten
die Auskunft,die Auskünfte
das Ausmaß,die Ausmaße
die Begründung,die Begründungen
das Engagement,die Engagements
die Entfernung,die Entfernungen
der Fleck,die Flecke
die Handlung,die Handlungen
das Immunsystem,die Immunsysteme
der Koffer,die Koffer
die Not,die Nöte
die Persönlichkeit,die Persönlichkeiten
der Schlüssel,die Schlüssel
der Schreibtisch,die Schreibtische
die Seele,die Seelen
der Unternehmer,die Unternehmer
die Unternehmung,die Unternehmungen
die Vereinbarung,die Vereinbarungen
das Video,die Videos
die Wahrnehmung,die Wahrnehmungen
der/die Angestellte,die Angestellte
die Äußerung,die Äußerungen
die Begegnung,die Begegnungen
das Café,die Cafés
die Datei,die Dateien
die Dienstleistung,die Dienstleistungen
die Erzählung,die Erzählungen
die Ferne,die Fernen
das Gedicht,die Gedichte
die Gründung,die Gründungen
der Keller,die Keller
das Konto,die Konten
die Operation,die Operationen
die Qualifikation,die Qualifikationen
die Sammlung,die Sammlungen
die Tonne,die Tonnen
der Träger,die Träger
der Trend,die Trends
die Variante,die Varianten
der/die Verwandte,die Verwandte
die Vielfalt,
die Vielzahl,
die Zahlung,die Zahlungen
der Arbeiter,die Arbeiter
der Aufwand,die Aufwände
die Aufwendungen,
der Bauch,die Bäuche
die Berechnung,die Berechnungen
der Bestandteil,die Bestandteile
das Entwicklungsland,die Entwicklungsländer
der Entwurf,die Entwürfe
die Fachhochschule,die Fachhochschulen
der Fernseher,die Fernseher
die Finanzierung,die Finanzierungen
die Hose,die Hosen
der Impuls,die Impulse
das Kapital,
der Kern,die Kerne
der Motor,die Motoren
der Rang,die Ränge
der Regisseur,die Regisseure
die Republik,die Republiken
das Salz,
der Stil,die Stile
die Vermittlung,die Vermittlungen
der Wahlkampf,die Wahlkampfen
die Wolke,die Wolken
der Zahn,die Zähne
die Anstrengung,die Anstrengungen
die Behinderung,die Behinderungen
die Berücksichtigung,die Berücksichtigungen
der Bord,die Borde
der Dichter,die Dichter
der Eingriff,die Eingriffe
der Einwohner,die Einwohner
der Fan,die Fans
die Hütte,die Hütten
die Kooperation,die Kooperationen
die Stasi,
das Symbol,die Symbole
der Täter,die Täter
die Tour,die Touren
die Trennung,die Trennungen
die Übertragung,die Übertragungen
die Verfassung,die Verfassungen
die Zeitschrift,die Zeitschriften
die Absicht,die Absichten
der Architekt,die Architekten
die Aufmerksamkeit,die Aufmerksamkeiten
der Beschluss,die Beschlüsse
die Bibel,die Bibeln
die Bindung,die Bindungen
die Börse,die Börsen
das Business,
der Ehegatte,die Ehegatten
die Einschätzung,die Einschätzungen
das Elektron,die Elektronen
die Entstehung,die Entstehungen
die Erweiterung,die Erweiterungen
der Feind,die Feinde
die Flucht,die Fluchten
der Flüchtling,die Flüchtlinge
das Geschlecht,die Geschlechter
das Gewissen,die Gewissen
der Gläubiger,die Gläubiger
der Griff,die Griffe
der Halt,die Halte
das Hemd,die Hemden
die Infektion,die Infektionen
der Kindergarten,die Kindergärten
das Klima,die Klimata
der Kontinent,die Kontinente
die Kündigung,die Kündigungen
der Mantel,die Mäntel
das Marketing,
der Mister,
der Mut,
die Nebenwirkung,die Nebenwirkungen
die Oper,die Opern
das Orchester,die Orchester
das Paket,die Pakete
die Ressource,die Ressourcen
die Revolution,die Revolutionen
die Richtlinie,die Richtlinien
die Rückkehr,
die Scheibe,die Scheiben
die Stille,
der Stress,die Stresse
die These,die Thesen
der Transport,die Transporte
der Übergang,die Übergänge
das Vorbild,die Vorbilder
das Vorgehen,
der Widerspruch,die Widersprüche
die Wüste,die Wüsten
der Alkohol,die Alkohole
die Anerkennung,die Anerkennungen
der Aufenthalt,die Aufenthalte
die Aussicht,die Aussichten
der Ball,die Bälle
die Bemerkung,die Bemerkungen
der Besitz,die Besitze
die Chemie,die Chemien
die Distanz,die Distanzen
das Ei,die Eier
die Frist,die Fristen
das Geschenk,die Geschenke
die Gestaltung,die Gestaltungen
das Heim,die Heime
der Höhepunkt,die Höhepunkte
der Horizont,die Horizonte
die Konferenz,die Konferenzen
das Kreuz,die Kreuze
die Notwendigkeit,die Notwendigkeiten
